id,reg,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,firstRegistrationDate
9724,N840MH,True,29718,AB80F4,Delta Air Lines,764,B764,B764,B767-432ER,238,2001-03-07,2001-03-07,2001-05-23,2001-05-23,Boeing 767-400,2,Jet,False,Boeing 767,24.0,True,1,2001-05-23
11301,N857DZ,True,31968,ABC1BC,Delta Air Lines,737,,B739,B737-932ER,,2016-03-25,2016-03-25,2016-04-07,2016-04-07,Boeing 737,2,Jet,False,Boeing 737,9.0,True,1,2016-04-07
2118392,N432QX,False,4166,A52C00,Horizon Air,DH4,DH8D,DHC8,DHC-8 402,76,,,2007-07-31,2007-07-31,De Havilland Canada DHC-8-400 Dash 8Q,2,Turboprop,False,Bombardier DHC-8,17.6,True,1,2007-07-31
5408,N591JB,True,2246,A7A1E8,JetBlue Airways,320,A320,A320,320-232,162,2004-06-23,2004-06-23,2004-08-04,2004-08-04,Airbus A320,2,Jet,False,Airbus A320,20.7,True,1,2004-08-04
10821,N317AS,True,30856,A360E3,Alaska Airlines,739,B739,B739,B737-990,,2003-03-06,2003-03-06,2003-03-26,2003-03-26,Boeing 737-900,2,Jet,False,Boeing 737 NG,22.0,True,1,2003-03-26
1749330,N276NN,True,17000781,A2BDFF,Envoy Air,E75,E175,E175,175LR,76,2019-02-21,,,2019-04-04,Embraer 175,2,Jet,False,Embraer ERJ170,6.1,True,1,2019-04-04
98121,N381FR,True,10544,A45F8E,Frontier Airlines,32N,A20N,A20N,320-251N,186,2021-04-14,,,2021-04-27,Airbus A320 NEO,2,Jet,False,Airbus A320 NEO,3.9,True,1,2021-04-27
30707,N146SY,True,17000491,A0BAA1,SkyWest Airlines,E75,E175,E175,175LR,,2015-07-06,,,2015-07-16,Embraer 175,2,Jet,False,Embraer ERJ170,9.7,True,1,2015-07-16
1750644,N23139,False,145731,A20F1A,CommutAir,ER4,E145,E135,145XR,,,,2003-06-11,2019-05-29,Embraer 145,2,Jet,False,Embraer ERJ145,21.8,True,2,2003-06-11
23515,N285AK,True,60577,A2E098,Alaska Airlines,737,,B739,B737-990ER,178,2018-03-11,2018-03-11,2018-03-27,2018-03-27,Boeing 737,2,Jet,False,Boeing 737,7.0,True,1,2018-03-27
1750912,N957DZ,True,38748,AD4F0B,Delta Air Lines,739,B739,B739,737-9GPER,215,2014-02-26,2014-02-26,2014-03-14,2023-03-06,Boeing 737-900,2,Jet,False,Boeing 737 NG,11.0,True,2,2014-03-14
15027,N8322X,True,36997,AB627C,Southwest Airlines,738,B738,B738,B737-8H4,175,2012-09-24,2012-09-24,2012-10-02,2012-10-02,Boeing 737-800,2,Jet,False,Boeing 737 NG,12.5,True,1,2012-10-02
10017,N546AS,True,30022,A6EE47,Alaska Airlines,738,B738,B738,B737-890,,2005-01-14,2005-01-14,2005-02-02,2005-02-02,Boeing 737-800,2,Jet,False,Boeing 737 NG,20.2,True,1,2005-02-02
10443,N6715C,True,30486,A8E279,Delta Air Lines,752,B752,B752,B757-232,199,2001-01-18,2001-01-18,2001-02-14,2006-05-01,Boeing 757-200,2,Jet,False,Boeing 757,24.1,True,3,2001-02-14
26509,N455AW,True,7848,A584C4,Air Wisconsin,CR2,CRJ2,CRJ2,CRJ-200LR,,,,2003-10-01,2003-10-01,Canadair CRJ 200,2,Jet,False,Canadair CRJ 100,21.4,True,1,2003-10-01
2613,N178US,True,1519,A138B8,American Airlines,321,A321,A321,321-211,187,2001-05-18,2001-05-18,2001-06-14,2015-04-08,Airbus A321,2,Jet,False,Airbus A321,23.8,True,2,2001-06-14
10945,N885NN,True,31139,AC31A1,American Airlines,738,B738,B738,B737-823,172,2012-02-06,2012-02-06,2012-02-24,2012-02-24,Boeing 737-800,2,Jet,False,Boeing 737 NG,13.1,True,1,2012-02-24
27231,N810UA,True,843,AB0B1F,United Airlines,319,A319,A319,319-131,126,1998-06-03,1998-06-03,1998-06-29,1998-06-29,Airbus A319,2,Jet,False,Airbus A319,26.8,True,1,1998-06-29
1749003,N299PQ,True,15299,A3183D,Endeavor Air,CR9,CRJ9,CRJ9,CRJ-900LR,,,,2013-12-05,2013-12-05,Canadair CRJ 900,2,Jet,False,Canadair CRJ 900,11.3,True,1,2013-12-05
8337,N704X,True,28163,A96577,Delta Air Lines,752,B752,B752,B757-2Q8,168,1997-01-16,1997-01-16,1997-01-30,2007-09-14,Boeing 757-200,2,Jet,False,Boeing 757,28.2,True,3,1997-01-30
2119102,N976AK,True,64967,AD99F9,Alaska Airlines,7M9,B39M,B39M,737-9MAX,,,2019-04-19,2022-05-19,2022-05-19,Boeing 737 MAX 9,2,Jet,False,Boeing 737 MAX,5.9,True,1,2022-05-19
31480,N444YX,False,17000453,A55BB5,Envoy Air,E75,E175,E175,175LR,76,2015-01-20,2015-01-20,2015-02-12,2024-02-13,Embraer 175,2,Jet,False,Embraer ERJ170,10.1,True,3,2015-02-12
11015,N985NN,True,31233,ADBEF0,American Airlines,738,B738,B738,B737-823,,2016-01-06,2016-01-06,2016-01-25,2016-01-27,Boeing 737-800,2,Jet,False,Boeing 737 NG,9.2,True,1,2016-01-27
180338,N3104J,True,55150,A349BE,JetBlue Airways,223,BCS3,BCS3,220-371,140,,2022-03-18,2022-04-07,2022-04-07,Airbus A220-300,2,Jet,False,Airbus A220,3.0,True,1,2022-04-07
7472,N778UA,True,26940,AA8882,United Airlines,772,B772,B772,B777-222,364,1996-06-27,1996-06-27,1996-07-18,1996-07-18,Boeing 777-200,2,Jet,False,Boeing 777,28.7,True,1,1996-07-18
2122071,N504AE,True,10044,A648D1,PSA Airlines,,,,CRJ-701ER,,,,2002-05-23,2018-08-31,Canadair CRJ-701ER,,,False,,22.8,True,3,2002-05-23
